"COUNTRY","Country","PAYP","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","H","Hourly","2010","2010","CAD","Canadian Dollar","0","Units",,,9.35,,
"CAN","Canada","H","Hourly","2011","2011","CAD","Canadian Dollar","0","Units",,,9.65,,
"CAN","Canada","H","Hourly","2012","2012","CAD","Canadian Dollar","0","Units",,,9.98,,
"CAN","Canada","H","Hourly","2013","2013","CAD","Canadian Dollar","0","Units",,,10.14,,
"CAN","Canada","H","Hourly","2014","2014","CAD","Canadian Dollar","0","Units",,,10.4,,
"CAN","Canada","H","Hourly","2015","2015","CAD","Canadian Dollar","0","Units",,,10.68,,
"CAN","Canada","H","Hourly","2016","2016","CAD","Canadian Dollar","0","Units",,,11,,
"CAN","Canada","H","Hourly","2017","2017","CAD","Canadian Dollar","0","Units",,,11.37,,
"CAN","Canada","H","Hourly","2018","2018","CAD","Canadian Dollar","0","Units",,,12.85,,
"CAN","Canada","H","Hourly","2019","2019","CAD","Canadian Dollar","0","Units",,,13.32,,
"CAN","Canada","H","Hourly","2020","2020","CAD","Canadian Dollar","0","Units",,,13.66,,
"PRT","Portugal","M","Monthly","2010","2010","EUR","Euro","0","Units",,,554.17,,
"PRT","Portugal","M","Monthly","2011","2011","EUR","Euro","0","Units",,,565.83,,
"PRT","Portugal","M","Monthly","2012","2012","EUR","Euro","0","Units",,,565.83,,
"PRT","Portugal","M","Monthly","2013","2013","EUR","Euro","0","Units",,,565.83,,
"PRT","Portugal","M","Monthly","2014","2014","EUR","Euro","0","Units",,,565.83,,
"PRT","Portugal","M","Monthly","2015","2015","EUR","Euro","0","Units",,,589.17,,
"PRT","Portugal","M","Monthly","2016","2016","EUR","Euro","0","Units",,,618.33,,
"PRT","Portugal","M","Monthly","2017","2017","EUR","Euro","0","Units",,,649.83,,
"PRT","Portugal","M","Monthly","2018","2018","EUR","Euro","0","Units",,,676.67,,
"PRT","Portugal","M","Monthly","2019","2019","EUR","Euro","0","Units",,,700,,
"PRT","Portugal","M","Monthly","2020","2020","EUR","Euro","0","Units",,,740.8,,
"PRT","Portugal","M","Monthly","2021","2021","EUR","Euro","0","Units",,,775.8,,
"NLD","Netherlands","A","Annual","2010","2010","EUR","Euro","0","Units",,,18297,,
"NLD","Netherlands","A","Annual","2011","2011","EUR","Euro","0","Units",,,18427,,
"NLD","Netherlands","A","Annual","2012","2012","EUR","Euro","0","Units",,,18810,,
"NLD","Netherlands","A","Annual","2013","2013","EUR","Euro","0","Units",,,19044,,
"NLD","Netherlands","A","Annual","2014","2014","EUR","Euro","0","Units",,,19316,,
"NLD","Netherlands","A","Annual","2015","2015","EUR","Euro","0","Units",,,19464,,
"NLD","Netherlands","A","Annual","2016","2016","EUR","Euro","0","Units",,,19841,,
"NLD","Netherlands","A","Annual","2017","2017","EUR","Euro","0","Units",,,20198,,
"NLD","Netherlands","A","Annual","2018","2018","EUR","Euro","0","Units",,,20556,,
"NLD","Netherlands","A","Annual","2019","2019","EUR","Euro","0","Units",,,21069,,
"NLD","Netherlands","A","Annual","2020","2020","EUR","Euro","0","Units",,,21602,,
"NLD","Netherlands","A","Annual","2021","2021","EUR","Euro","0","Units",,,21940,,
"EST","Estonia","M","Monthly","2010","2010","EUR","Euro","0","Units",,,278.02,,
"EST","Estonia","M","Monthly","2011","2011","EUR","Euro","0","Units",,,278.02,,
"EST","Estonia","M","Monthly","2012","2012","EUR","Euro","0","Units",,,290,,
"EST","Estonia","M","Monthly","2013","2013","EUR","Euro","0","Units",,,320,,
"EST","Estonia","M","Monthly","2014","2014","EUR","Euro","0","Units",,,355,,
"EST","Estonia","M","Monthly","2015","2015","EUR","Euro","0","Units",,,390,,
"EST","Estonia","M","Monthly","2016","2016","EUR","Euro","0","Units",,,430,,
"EST","Estonia","M","Monthly","2017","2017","EUR","Euro","0","Units",,,470,,
"EST","Estonia","M","Monthly","2018","2018","EUR","Euro","0","Units",,,500,,
"EST","Estonia","M","Monthly","2019","2019","EUR","Euro","0","Units",,,540,,
"EST","Estonia","M","Monthly","2020","2020","EUR","Euro","0","Units",,,584,,
"EST","Estonia","M","Monthly","2021","2021","EUR","Euro","0","Units",,,584,,
"BRA","Brazil","M","Monthly","2010","2010","BRL","Brazilian Real","0","Units",,,510,,
"BRA","Brazil","M","Monthly","2011","2011","BRL","Brazilian Real","0","Units",,,544.17,,
"BRA","Brazil","M","Monthly","2012","2012","BRL","Brazilian Real","0","Units",,,622,,
"BRA","Brazil","M","Monthly","2013","2013","BRL","Brazilian Real","0","Units",,,678,,
"BRA","Brazil","M","Monthly","2014","2014","BRL","Brazilian Real","0","Units",,,724,,
"BRA","Brazil","M","Monthly","2015","2015","BRL","Brazilian Real","0","Units",,,788,,
"BRA","Brazil","M","Monthly","2016","2016","BRL","Brazilian Real","0","Units",,,880,,
"BRA","Brazil","M","Monthly","2017","2017","BRL","Brazilian Real","0","Units",,,937,,
"BRA","Brazil","M","Monthly","2018","2018","BRL","Brazilian Real","0","Units",,,954,,
"BRA","Brazil","M","Monthly","2019","2019","BRL","Brazilian Real","0","Units",,,998,,
"BRA","Brazil","M","Monthly","2020","2020","BRL","Brazilian Real","0","Units",,,1045,,
"BRA","Brazil","M","Monthly","2021","2021","BRL","Brazilian Real","0","Units",,,1100,,
"KOR","Korea","H","Hourly","2010","2010","KRW","Won","0","Units",,,4110,,
"KOR","Korea","H","Hourly","2011","2011","KRW","Won","0","Units",,,4320,,
"KOR","Korea","H","Hourly","2012","2012","KRW","Won","0","Units",,,4580,,
"KOR","Korea","H","Hourly","2013","2013","KRW","Won","0","Units",,,4860,,
"KOR","Korea","H","Hourly","2014","2014","KRW","Won","0","Units",,,5210,,
"KOR","Korea","H","Hourly","2015","2015","KRW","Won","0","Units",,,5580,,
"KOR","Korea","H","Hourly","2016","2016","KRW","Won","0","Units",,,6030,,
"KOR","Korea","H","Hourly","2017","2017","KRW","Won","0","Units",,,6470,,
"KOR","Korea","H","Hourly","2018","2018","KRW","Won","0","Units",,,7530,,
"KOR","Korea","H","Hourly","2019","2019","KRW","Won","0","Units",,,8350,,
"KOR","Korea","H","Hourly","2020","2020","KRW","Won","0","Units",,,8590,,
"KOR","Korea","H","Hourly","2021","2021","KRW","Won","0","Units",,,8720,,
"TUR","Turkey","M","Monthly","2010","2010","TRY","Turkish Lira","0","Units",,,744.8,,
"TUR","Turkey","M","Monthly","2011","2011","TRY","Turkish Lira","0","Units",,,816.8,,
"TUR","Turkey","M","Monthly","2012","2012","TRY","Turkish Lira","0","Units",,,913.5,,
"TUR","Turkey","M","Monthly","2013","2013","TRY","Turkish Lira","0","Units",,,1000.1,,
"TUR","Turkey","M","Monthly","2014","2014","TRY","Turkish Lira","0","Units",,,1102.5,,
"TUR","Turkey","M","Monthly","2015","2015","TRY","Turkish Lira","0","Units",,,1237.5,,
"TUR","Turkey","M","Monthly","2016","2016","TRY","Turkish Lira","0","Units",,,1647,,
"TUR","Turkey","M","Monthly","2017","2017","TRY","Turkish Lira","0","Units",,,1777.5,,
"TUR","Turkey","M","Monthly","2018","2018","TRY","Turkish Lira","0","Units",,,2029.5,,
"TUR","Turkey","M","Monthly","2019","2019","TRY","Turkish Lira","0","Units",,,2558.4,,
"TUR","Turkey","M","Monthly","2020","2020","TRY","Turkish Lira","0","Units",,,2943,,
"TUR","Turkey","M","Monthly","2021","2021","TRY","Turkish Lira","0","Units",,,3577.5,,
"LVA","Latvia","A","Annual","2010","2010","EUR","Euro","0","Units",,,3067.2,,
"LVA","Latvia","A","Annual","2011","2011","EUR","Euro","0","Units",,,3408,,
"LVA","Latvia","A","Annual","2012","2012","EUR","Euro","0","Units",,,3408,,
"LVA","Latvia","A","Annual","2013","2013","EUR","Euro","0","Units",,,3408,,
"LVA","Latvia","A","Annual","2014","2014","EUR","Euro","0","Units",,,3840,,
"LVA","Latvia","A","Annual","2015","2015","EUR","Euro","0","Units",,,4320,,
"LVA","Latvia","A","Annual","2016","2016","EUR","Euro","0","Units",,,4440,,
"LVA","Latvia","A","Annual","2017","2017","EUR","Euro","0","Units",,,4560,,
"LVA","Latvia","A","Annual","2018","2018","EUR","Euro","0","Units",,,5160,,
"LVA","Latvia","A","Annual","2019","2019","EUR","Euro","0","Units",,,5160,,
"LVA","Latvia","A","Annual","2020","2020","EUR","Euro","0","Units",,,5160,,
"LVA","Latvia","A","Annual","2021","2021","EUR","Euro","0","Units",,,6000,,
"AUS","Australia","W","Weekly","2010","2010","AUD","Australian Dollar","0","Units",,,556.84,,
"AUS","Australia","W","Weekly","2011","2011","AUD","Australian Dollar","0","Units",,,579.6,,
"AUS","Australia","W","Weekly","2012","2012","AUD","Australian Dollar","0","Units",,,597.85,,
"AUS","Australia","W","Weekly","2013","2013","AUD","Australian Dollar","0","Units",,,614.3,,
"AUS","Australia","W","Weekly","2014","2014","AUD","Australian Dollar","0","Units",,,631.55,,
"AUS","Australia","W","Weekly","2015","2015","AUD","Australian Dollar","0","Units",,,648.9,,
"AUS","Australia","W","Weekly","2016","2016","AUD","Australian Dollar","0","Units",,,664.8,,
"AUS","Australia","W","Weekly","2017","2017","AUD","Australian Dollar","0","Units",,,683.8,,
"AUS","Australia","W","Weekly","2018","2018","AUD","Australian Dollar","0","Units",,,707.05,,
"AUS","Australia","W","Weekly","2019","2019","AUD","Australian Dollar","0","Units",,,730,,
"AUS","Australia","W","Weekly","2020","2020","AUD","Australian Dollar","0","Units",,,747.3,,
"AUS","Australia","W","Weekly","2021","2021","AUD","Australian Dollar","0","Units",,,763.2,,
"HUN","Hungary","M","Monthly","2010","2010","HUF","Forint","0","Units",,,73500,,
"HUN","Hungary","M","Monthly","2011","2011","HUF","Forint","0","Units",,,78000,,
"HUN","Hungary","M","Monthly","2012","2012","HUF","Forint","0","Units",,,93000,,
"HUN","Hungary","M","Monthly","2013","2013","HUF","Forint","0","Units",,,98000,,
"HUN","Hungary","M","Monthly","2014","2014","HUF","Forint","0","Units",,,101500,,
"HUN","Hungary","M","Monthly","2015","2015","HUF","Forint","0","Units",,,105000,,
"HUN","Hungary","M","Monthly","2016","2016","HUF","Forint","0","Units",,,111000,,
"HUN","Hungary","M","Monthly","2017","2017","HUF","Forint","0","Units",,,127650,,
"HUN","Hungary","M","Monthly","2018","2018","HUF","Forint","0","Units",,,138000,,
"HUN","Hungary","M","Monthly","2019","2019","HUF","Forint","0","Units",,,149000,,
"HUN","Hungary","M","Monthly","2020","2020","HUF","Forint","0","Units",,,161000,,
"HUN","Hungary","M","Monthly","2021","2021","HUF","Forint","0","Units",,,166867,,
"ROU","Romania","M","Monthly","2010","2010","RON","Romanian Leu","0","Units",,,600,,
"ROU","Romania","M","Monthly","2011","2011","RON","Romanian Leu","0","Units",,,670,,
"ROU","Romania","M","Monthly","2012","2012","RON","Romanian Leu","0","Units",,,700,,
"ROU","Romania","M","Monthly","2013","2013","RON","Romanian Leu","0","Units",,,775,,
"ROU","Romania","M","Monthly","2014","2014","RON","Romanian Leu","0","Units",,,879.17,,
"ROU","Romania","M","Monthly","2015","2015","RON","Romanian Leu","0","Units",,,1018.75,,
"ROU","Romania","M","Monthly","2016","2016","RON","Romanian Leu","0","Units",,,1166.67,,
"ROU","Romania","M","Monthly","2017","2017","RON","Romanian Leu","0","Units",,,1433.33,,
"ROU","Romania","M","Monthly","2018","2018","RON","Romanian Leu","0","Units",,,1900,,
"ROU","Romania","M","Monthly","2019","2019","RON","Romanian Leu","0","Units",,,2080,,
"ROU","Romania","M","Monthly","2020","2020","RON","Romanian Leu","0","Units",,,2230,,
"ROU","Romania","M","Monthly","2021","2021","RON","Romanian Leu","0","Units",,,2271,,
"SVK","Slovak Republic","A","Annual","2010","2010","EUR","Euro","0","Units",,,3692.4,,
"SVK","Slovak Republic","A","Annual","2011","2011","EUR","Euro","0","Units",,,3804,,
"SVK","Slovak Republic","A","Annual","2012","2012","EUR","Euro","0","Units",,,3926.4,,
"SVK","Slovak Republic","A","Annual","2013","2013","EUR","Euro","0","Units",,,4052.4,,
"SVK","Slovak Republic","A","Annual","2014","2014","EUR","Euro","0","Units",,,4224,,
"SVK","Slovak Republic","A","Annual","2015","2015","EUR","Euro","0","Units",,,4560,,
"SVK","Slovak Republic","A","Annual","2016","2016","EUR","Euro","0","Units",,,4860,,
"SVK","Slovak Republic","A","Annual","2017","2017","EUR","Euro","0","Units",,,5220,,
"SVK","Slovak Republic","A","Annual","2018","2018","EUR","Euro","0","Units",,,5760,,
"SVK","Slovak Republic","A","Annual","2019","2019","EUR","Euro","0","Units",,,6240,,
"SVK","Slovak Republic","A","Annual","2020","2020","EUR","Euro","0","Units",,,6960,,
"SVK","Slovak Republic","A","Annual","2021","2021","EUR","Euro","0","Units",,,7476,,
"SVN","Slovenia","M","Monthly","2010","2010","EUR","Euro","0","Units",,,711.36,,
"SVN","Slovenia","M","Monthly","2011","2011","EUR","Euro","0","Units",,,745.78,,
"SVN","Slovenia","M","Monthly","2012","2012","EUR","Euro","0","Units",,,763.03,,
"SVN","Slovenia","M","Monthly","2013","2013","EUR","Euro","0","Units",,,783.66,,
"SVN","Slovenia","M","Monthly","2014","2014","EUR","Euro","0","Units",,,788.69,,
"SVN","Slovenia","M","Monthly","2015","2015","EUR","Euro","0","Units",,,791,,
"SVN","Slovenia","M","Monthly","2016","2016","EUR","Euro","0","Units",,,791,,
"SVN","Slovenia","M","Monthly","2017","2017","EUR","Euro","0","Units",,,804.96,,
"SVN","Slovenia","M","Monthly","2018","2018","EUR","Euro","0","Units",,,842.79,,
"SVN","Slovenia","M","Monthly","2019","2019","EUR","Euro","0","Units",,,886.63,,
"SVN","Slovenia","M","Monthly","2020","2020","EUR","Euro","0","Units",,,940.58,,
"SVN","Slovenia","M","Monthly","2021","2021","EUR","Euro","0","Units",,,1024.24,,
"LUX","Luxembourg","A","Annual","2010","2010","EUR","Euro","0","Units",,,20445.42,,
"LUX","Luxembourg","A","Annual","2011","2011","EUR","Euro","0","Units",,,21090.72,,
"LUX","Luxembourg","A","Annual","2012","2012","EUR","Euro","0","Units",,,21486.09,,
"LUX","Luxembourg","A","Annual","2013","2013","EUR","Euro","0","Units",,,21835.98,,
"LUX","Luxembourg","A","Annual","2014","2014","EUR","Euro","0","Units",,,22917.63,,
"LUX","Luxembourg","A","Annual","2015","2015","EUR","Euro","0","Units",,,23075.52,,
"LUX","Luxembourg","A","Annual","2016","2016","EUR","Euro","0","Units",,,23075.52,,
"LUX","Luxembourg","A","Annual","2017","2017","EUR","Euro","0","Units",,,23983.08,,
"LUX","Luxembourg","A","Annual","2018","2018","EUR","Euro","0","Units",,,24232.83,,
"LUX","Luxembourg","A","Annual","2019","2019","EUR","Euro","0","Units",,,25077,,
"LUX","Luxembourg","A","Annual","2020","2020","EUR","Euro","0","Units",,,25704,,
"LUX","Luxembourg","A","Annual","2021","2021","EUR","Euro","0","Units",,,26588,,
"NZL","New Zealand","W","Weekly","2010","2010","NZD","New Zealand Dollar","0","Units",,,507.5,,
"NZL","New Zealand","W","Weekly","2011","2011","NZD","New Zealand Dollar","0","Units",,,517.5,,
"NZL","New Zealand","W","Weekly","2012","2012","NZD","New Zealand Dollar","0","Units",,,535,,
"NZL","New Zealand","W","Weekly","2013","2013","NZD","New Zealand Dollar","0","Units",,,547.5,,
"NZL","New Zealand","W","Weekly","2014","2014","NZD","New Zealand Dollar","0","Units",,,565,,
"NZL","New Zealand","W","Weekly","2015","2015","NZD","New Zealand Dollar","0","Units",,,585,,
"NZL","New Zealand","W","Weekly","2016","2016","NZD","New Zealand Dollar","0","Units",,,605,,
"NZL","New Zealand","W","Weekly","2017","2017","NZD","New Zealand Dollar","0","Units",,,625,,
"NZL","New Zealand","W","Weekly","2018","2018","NZD","New Zealand Dollar","0","Units",,,647.5,,
"NZL","New Zealand","W","Weekly","2019","2019","NZD","New Zealand Dollar","0","Units",,,681,,
"NZL","New Zealand","W","Weekly","2020","2020","NZD","New Zealand Dollar","0","Units",,,744,,
"NZL","New Zealand","W","Weekly","2021","2021","NZD","New Zealand Dollar","0","Units",,,789,,
"HUN","Hungary","H","Hourly","2010","2010","HUF","Forint","0","Units",,,424.7,,
"HUN","Hungary","H","Hourly","2011","2011","HUF","Forint","0","Units",,,450.7,,
"HUN","Hungary","H","Hourly","2012","2012","HUF","Forint","0","Units",,,537.3,,
"HUN","Hungary","H","Hourly","2013","2013","HUF","Forint","0","Units",,,566.2,,
"HUN","Hungary","H","Hourly","2014","2014","HUF","Forint","0","Units",,,586.4,,
"HUN","Hungary","H","Hourly","2015","2015","HUF","Forint","0","Units",,,604,,
"HUN","Hungary","H","Hourly","2016","2016","HUF","Forint","0","Units",,,639,,
"HUN","Hungary","H","Hourly","2017","2017","HUF","Forint","0","Units",,,725.3,,
"HUN","Hungary","H","Hourly","2018","2018","HUF","Forint","0","Units",,,784.1,,
"HUN","Hungary","H","Hourly","2019","2019","HUF","Forint","0","Units",,,857,,
"HUN","Hungary","H","Hourly","2020","2020","HUF","Forint","0","Units",,,926,,
"HUN","Hungary","H","Hourly","2021","2021","HUF","Forint","0","Units",,,959.9,,
"CHL","Chile","A","Annual","2010","2010","CLP","Chilean Peso","0","Units",,,2022000,,
"CHL","Chile","A","Annual","2011","2011","CLP","Chilean Peso","0","Units",,,2124000,,
"CHL","Chile","A","Annual","2012","2012","CLP","Chilean Peso","0","Units",,,2250000,,
"CHL","Chile","A","Annual","2013","2013","CLP","Chilean Peso","0","Units",,,2401000,,
"CHL","Chile","A","Annual","2014","2014","CLP","Chilean Peso","0","Units",,,2595000,,
"CHL","Chile","A","Annual","2015","2015","CLP","Chilean Peso","0","Units",,,2781000,,
"CHL","Chile","A","Annual","2016","2016","CLP","Chilean Peso","0","Units",,,3045000,,
"CHL","Chile","A","Annual","2017","2017","CLP","Chilean Peso","0","Units",,,3204000,,
"CHL","Chile","A","Annual","2018","2018","CLP","Chilean Peso","0","Units",,,3360000,,
"CHL","Chile","A","Annual","2019","2019","CLP","Chilean Peso","0","Units",,,3586000,,
"CHL","Chile","A","Annual","2020","2020","CLP","Chilean Peso","0","Units",,,3807000,,
"CHL","Chile","A","Annual","2021","2021","CLP","Chilean Peso","0","Units",,,4011000,,
"KOR","Korea","M","Monthly","2010","2010","KRW","Won","0","Units",,,928860,,
"KOR","Korea","M","Monthly","2011","2011","KRW","Won","0","Units",,,976320,,
"KOR","Korea","M","Monthly","2012","2012","KRW","Won","0","Units",,,957220,,
"KOR","Korea","M","Monthly","2013","2013","KRW","Won","0","Units",,,1015740,,
"KOR","Korea","M","Monthly","2014","2014","KRW","Won","0","Units",,,1088890,,
"KOR","Korea","M","Monthly","2015","2015","KRW","Won","0","Units",,,1166220,,
"KOR","Korea","M","Monthly","2016","2016","KRW","Won","0","Units",,,1260270,,
"KOR","Korea","M","Monthly","2017","2017","KRW","Won","0","Units",,,1352230,,
"KOR","Korea","M","Monthly","2018","2018","KRW","Won","0","Units",,,1573770,,
"KOR","Korea","M","Monthly","2019","2019","KRW","Won","0","Units",,,1745150,,
"KOR","Korea","M","Monthly","2020","2020","KRW","Won","0","Units",,,1795310,,
"KOR","Korea","M","Monthly","2021","2021","KRW","Won","0","Units",,,1822480,,
"CZE","Czech Republic","A","Annual","2010","2010","CZK","Czech Koruna","0","Units",,,96000,,
"CZE","Czech Republic","A","Annual","2011","2011","CZK","Czech Koruna","0","Units",,,96000,,
"CZE","Czech Republic","A","Annual","2012","2012","CZK","Czech Koruna","0","Units",,,96000,,
"CZE","Czech Republic","A","Annual","2013","2013","CZK","Czech Koruna","0","Units",,,98500,,
"CZE","Czech Republic","A","Annual","2014","2014","CZK","Czech Koruna","0","Units",,,102000,,
"CZE","Czech Republic","A","Annual","2015","2015","CZK","Czech Koruna","0","Units",,,110400,,
"CZE","Czech Republic","A","Annual","2016","2016","CZK","Czech Koruna","0","Units",,,118800,,
"CZE","Czech Republic","A","Annual","2017","2017","CZK","Czech Koruna","0","Units",,,132000,,
"CZE","Czech Republic","A","Annual","2018","2018","CZK","Czech Koruna","0","Units",,,146400,,
"CZE","Czech Republic","A","Annual","2019","2019","CZK","Czech Koruna","0","Units",,,162000,,
"CZE","Czech Republic","A","Annual","2020","2020","CZK","Czech Koruna","0","Units",,,175200,,
"CZE","Czech Republic","A","Annual","2021","2021","CZK","Czech Koruna","0","Units",,,182400,,
"USA","United States","A","Annual","2010","2010","USD","US Dollar","0","Units",,,15080,,
"USA","United States","A","Annual","2011","2011","USD","US Dollar","0","Units",,,15080,,
"USA","United States","A","Annual","2012","2012","USD","US Dollar","0","Units",,,15080,,
"USA","United States","A","Annual","2013","2013","USD","US Dollar","0","Units",,,15080,,
"USA","United States","A","Annual","2014","2014","USD","US Dollar","0","Units",,,15080,,
"USA","United States","A","Annual","2015","2015","USD","US Dollar","0","Units",,,15080,,
"USA","United States","A","Annual","2016","2016","USD","US Dollar","0","Units",,,15080,,
"USA","United States","A","Annual","2017","2017","USD","US Dollar","0","Units",,,15080,,
"USA","United States","A","Annual","2018","2018","USD","US Dollar","0","Units",,,15080,,
"USA","United States","A","Annual","2019","2019","USD","US Dollar","0","Units",,,15080,,
"USA","United States","A","Annual","2020","2020","USD","US Dollar","0","Units",,,15080,,
"USA","United States","A","Annual","2021","2021","USD","US Dollar","0","Units",,,15080,,
"SVN","Slovenia","A","Annual","2010","2010","EUR","Euro","0","Units",,,8536.36,,
"SVN","Slovenia","A","Annual","2011","2011","EUR","Euro","0","Units",,,8949.3,,
"SVN","Slovenia","A","Annual","2012","2012","EUR","Euro","0","Units",,,9156.36,,
"SVN","Slovenia","A","Annual","2013","2013","EUR","Euro","0","Units",,,9403.92,,
"SVN","Slovenia","A","Annual","2014","2014","EUR","Euro","0","Units",,,9464.31,,
"SVN","Slovenia","A","Annual","2015","2015","EUR","Euro","0","Units",,,9492,,
"SVN","Slovenia","A","Annual","2016","2016","EUR","Euro","0","Units",,,9492,,
"SVN","Slovenia","A","Annual","2017","2017","EUR","Euro","0","Units",,,9659.52,,
"SVN","Slovenia","A","Annual","2018","2018","EUR","Euro","0","Units",,,10113.48,,
"SVN","Slovenia","A","Annual","2019","2019","EUR","Euro","0","Units",,,10639.56,,
"SVN","Slovenia","A","Annual","2020","2020","EUR","Euro","0","Units",,,11287,,
"SVN","Slovenia","A","Annual","2021","2021","EUR","Euro","0","Units",,,12291,,
"AUS","Australia","H","Hourly","2010","2010","AUD","Australian Dollar","0","Units",,,14.66,,
"AUS","Australia","H","Hourly","2011","2011","AUD","Australian Dollar","0","Units",,,15.26,,
"AUS","Australia","H","Hourly","2012","2012","AUD","Australian Dollar","0","Units",,,15.74,,
